Nome;Categoria;Prezzo;Peso;Kcal;Carboidrati;Zuccheri;Grassi;Fibre;Proteine
SpiedìSpiedì l'hamurber di Ovino 100% italiano 0,200 Kg;Carne;€ 3,99;N/D;684 kJ 164 kcal;<0,1 g;<0,1 g;11,6 g;N/D;15 g
SpiedìSpiedì gli Arrosticini 1,000 Kg;Carne;€ 22,99;1.0 kg;799 kJ 192 kcal;2,3 g;<0,50 g;12,37 g;N/D;17,77 g
I Freschi di CarrefourTrancio di fesa di tacchino;Carne;€ 9,37;750.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
SpiedìSpiedì gli Arrosticini 0,600 kg;Carne;€ 14,99;600.0 g;799 kJ 192 kcal;2,3 g;<0,50 g;12,37 g;N/D;17,77 g
CarrefourPancetta di suino a fette;Carne;€ 4,61;0.60 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco MacelleriaPuntine di Suino Confezione Risparmio;Carne;€ 6,54;0.85 kg;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Salamella al Pezzo 0,525 kg;Carne;€ 4,00;525.0 g;918kJ/221kcal;<0,5g;<0,5g;18g;0g;14g
CarrefourCarrefour il Mercato Salamelle Suino 320 g;Carne;€ 3,99;320.0 g;238 kcal;<0,5 g;0 g;19 g;N/D;16 g
AiaAia Pollo Sottilissime;Carne;€ 4,25;250.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
AmadoriAmadori Qualità 10+ Petto di Pollo a Fette Maxi;Carne;€ 15,99;0.80 kg;N/D;N/D;N/D;N/D;N/D;N/D
AmadoriAmadori Cordon Bleu con cotto di tacchino e formaggio 0,250 kg;Carne;€ 2,99;250.0 g;861 kJ/206 kcal;13 g;0.6 g;11 g;N/D;13 g
AiaAia Wudy Classico 300 g;Carne;€ 1,99;300.0 g;995 kJ / 240 kcal;0 g;0 g;20 g;N/D;15 g
CarrefourMacinato Misto di Suino e Bovino;Carne;€ 4,25;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
AiaAia Gran Dorate alla Viennese Cotoletta di Filetti di Pollo 0,300 kg;Carne;€ 3,44;300.0 g;968kJ (231kcal);19g;1,1g;11g;N/D;14g
AiaAia Carne al Fuoco Hamburger Classico con Tacchino con Rosmarino 0,400 kg;Carne;€ 7,49;400.0 g;582kJ (139kcal);3,0g;0g;7,0g;N/D;16g
Banco MacelleriaLonza di Suino a Tranci Confezione Risparmio;Carne;€ 4,99;1.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Würstel di Suino 100 g;Carne;€ 0,69;100.0 g;292 kcal;<0,5 g;<0,5 g;26 g;N/D;14 g
AmadoriAmadori Qualità 10+ Fusi di Pollo;Carne;€ 9,09;1.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
AmadoriAmadori Macinato Fine di Tacchino 0,270 kg;Carne;€ 2,99;270.0 g;603 kJ/144 kcal;5.0 g;1.5 g;6.2 g;N/D;17 g
Filiera Qualità CarrefourMacinato di Bovino Adulto Filiera Qualità Carrefour;Carne;€ 6,00;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Würstel Pollo e Tacchino 100 g;Carne;€ 0,39;100.0 g;827kJ/199 kcal;4,2 g;0,8 g;3,9 g;N/D;14 g
SimplSimpl Würstel Pollo e Tacchino 250 g;Carne;€ 0,69;250.0 g;199 kcal;4,2 g;0,8 g;14 g;N/D;14 g
AiaAia Gran Dorate alla Valdostana Cotoletta di Filetti di Pollo con Scamorza Affumicata 0,200 kg;Carne;€ 3,99;200.0 g;937kJ (224Kcal);15g;0,7g;12g;N/D;14g
SimplSimpl Hamburger Bovino Adulto confezione risparmio;Carne;€ 4,00;0.40 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourCarne Macinata Mista Bovino e Suino Filiera Qualità Carrefour;Carne;€ 5,00;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
WüberWüber gli Originali Pollo 100 g;Carne;€ 0,95;100.0 g;888 kJ / 214 kcal;0,5g;<0,5g;17g;1,5g;14g
AiaAia BonRoll Ripieno con Speck 0,680 kg;Carne;€ 5,99;680.0 g;895kJ (215kcal);4,0g;1,2g;15g;N/D;16g
AiaAia Gran Dorate alla Milanese Cotoletta di Pollo 0,280 kg;Carne;€ 4,99;280.0 g;937kJ (224kcal);15g;1g;12g;N/D;14g
AiaAia Wudy Formaggio 150 g;Carne;€ 0,99;150.0 g;977 kJ/ 235 kcal;1,1 g;0,0 g;19,0g;N/D;15,0 g
AiaAia Chicken Salad Tagliata di Petti di Pollo 0,300 kg;Carne;€ 4,99;300.0 g;460kJ (109kcal);1,8g;0g;1,5g;N/D;22g
AiaAia Kebab di Pollo Tagliato in Sfoglie 0,300 kg;Carne;€ 5,99;300.0 g;550kJ (131kcal);2,1g;0g;6,1g;N/D;17g
Filiera Qualità CarrefourHamburger di vitello Filiera Qualità Carrefour;Carne;€ 4,90;0.35 kg;N/D;N/D;N/D;N/D;N/D;N/D
AiaAia Gli Originali Cordon Bleu Classico con Ripieno di Tacchino e Formaggio 0,245 kg;Carne;€ 4,49;245.0 g;974kJ (233kcal);15g;0,6g;13g;N/D;14g
FileniFileni Macinato di Pollo 0,300 kg;Carne;€ 3,59;300.0 g;560 kJ/134 kcal;0 g;0 g;5.4 g;N/D;19 g
WüberWüber Wüberone Pollo Gusto Delicato 250 g;Carne;€ 1,89;250.0 g;888 kJ/214 kcal;0,5g;<0,5g;17g;1,5g;14g
WüberWüber gli Originali Puro Suino 100 g;Carne;€ 1,19;100.0 g;1209 kJ / 292 kcal;0,5g;<0,5g;26g;N/D;14g
AmadoriAmadori Cotoletta Sottile 0,300 kg;Carne;€ 4,49;300.0 g;983 kJ/230 kcal;17 g;0 g;12 g;N/D;13 g
WüberWüber Wüberone l'Originale 250 g;Carne;€ 2,49;N/D;1209 kJ/292 kcal;0,5g;<0,5g;26,0g;N/D;14g
AiaAia Durango Alette di Pollo Arrosto delicatamente piccanti 0,500 kg;Carne;€ 6,99;500.0 g;834kJ (199kcal);5,1g;0,6g;11g;N/D;20g
Filiera Qualità CarrefourMacinato Scelto di Bovino Filiera Qualità Carrefour;Carne;€ 6,79;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
SuinoLonza a fette di suino confezione famiglia;Carne;€ 6,29;0.90 kg;N/D;N/D;N/D;N/D;N/D;N/D
AiaAia Carne al Fuoco Hamburger Classico di Pollo 0,200 kg;Carne;€ 2,49;200.0 g;552kJ (132kcal);0g;0g;7,1g;N/D;17g
Terre d'ItaliaMini Hamburger di Carne Chianina;Carne;€ 9,90;N/D;593KJ, 164 Kcal;2,2g;<0,5g;9,7g;N/D;17g
AmadoriAmadori le Birbe Classiche 0,300 kg;Carne;€ 4,99;300.0 g;870 kJ/208 kcal;16 g;0,7 g;10 g;N/D;13 g
AiaAia BonRoll Classico 0,680 kg;Carne;€ 5,99;680.0 g;828kJ (199kcal);4,4g;1,7g;13g;N/D;16g
AiaAia Sottilissime di Fesa di Tacchino;Carne;€ 4,87;250.00 gr;106 kcal;0 g;0 g;1,1 g;N/D;24 g
SuinoBraciole di coppa di suino;Carne;€ 5,00;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
SimplTagliata di Petto di Pollo Cotta Simpl;Carne;€ 5,39;420.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourCarne macinata di bovino - confezione risparmio;Carne;€ 10,52;0.90 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Maxi Würstel di Suino 250 g;Carne;€ 1,59;250.0 g;292 kcal;<0,5 g;<0,5 g;26 g;N/D;14 g
AiaAia Carne al Fuoco Hamburger Classico con Tacchino con Rosmarino 0,200 kg;Carne;€ 2,49;200.0 g;582kJ (139kcal);3,0g;0g;7,0g;N/D;16g
AiaAia Carne al Fuoco Polpette di Suino 0,320 kg;Carne;€ 5,79;320.0 g;833kJ (200kcal);2,7g;0,9g;13g;N/D;18g
CarrefourCarrefour Filiera Qualità Petto di Pollo a Fette Risparmio;Carne;€ 11,21;680.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Hamburger di Scottona con Bacon 180 g;Carne;€ 3,99;180.0 g;202 kcal;2,0 g;<0,5 g;14 g;N/D;16 g
CarrefourPolpa Scelta Macinata di Bovino;Carne;€ 4,99;0.32 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourBollito di Bovino Adulto Confezione Risparmio Filiera Qualità Carrefour;Carne;€ 5,84;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
FileniFileni Buoni & Veloci Secondo Piatto Polpette con Pollo e Tacchino al Pomodoro 220 g;Carne;€ 4,99;220.0 g;118 kcal;5,3 g;1,6 g;6,6 g;N/D;9,3 g
CarrefourCarrefour Filiera Qualità Filettini di Pollo;Carne;€ 6,12;350.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
Suino2 x Hamburger di suino;Carne;€ 2,00;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Banco MacelleriaFettine per Pizzaiola Confezione Risparmio;Carne;€ 5,04;0.30 kg;N/D;N/D;N/D;N/D;N/D;N/D
MartiniMartini QuandoVuoi Bastoncini di Pollo 0,500 kg;Carne;€ 3,59;500.0 g;1095kJ/262 kcal;25 g;1,4 g;14 g;N/D;9 g
AiaAia BonRoll Ripieno con Spinaci 0,680 kg;Carne;€ 5,99;680.0 g;915kJ (220kcal);5,0g;0,8g;16g;N/D;14g
I Freschi di CarrefourI Freschi di Carrefour Fesa Tacchino a Fette;Carne;€ 10,39;800.00 gr;N/D;N/D;N/D;N/D;N/D;N/D
FioraniTagliata di coppa marinata;Carne;€ 3,99;250.0 g;N/D;N/D;N/D;N/D;N/D;N/D
AmadoriAmadori Buona Domenica Ricetta Classica 0,500 kg;Carne;€ 5,29;500.0 g;872 kJ/209 kcal;5.1 g;1.1 g;14 g;N/D;15 g
Filiera Qualità CarrefourSpezzatino di Vitello Confezione Famiglia Filiera Qualità Carrefour;Carne;€ 15,97;0.85 kg;N/D;N/D;N/D;N/D;N/D;N/D
AiaAia Wudy Classico Snack 125 g;Carne;€ 0,99;125.0 g;995 kJ/ 240 kcal;0,0 g;0,0 g;20 g;N/D;15 g
MartiniMartini QuandoVuoi Crocchette di Pollo con Formaggio 0,500 kg;Carne;€ 3,59;500.0 g;1016 kJ/244 kcal;17 g;1,1 g;15 g;N/D;8,7 g
Filiera Qualità CarrefourScaloppine di bovino adulto FQC;Carne;€ 7,70;0.35 kg;N/D;N/D;N/D;N/D;N/D;N/D
SimplSimpl Hamburger di Pollo x 2;Carne;€ 2,00;200.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourFiliera Qualità Carrefour Braciole di Vitello;Carne;€ 8,49;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
Banco MacelleriaPuntine Costine di Suino;Carne;€ 5,21;0.60 kg;N/D;N/D;N/D;N/D;N/D;N/D
Filiera Qualità CarrefourPunta di Petto di Vitello a Fette Filiera Qualità Carrefour;Carne;€ 7,50;0.50 kg;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour il Mercato Hamburger di Scottona con Parmigiano Reggiano 180 g;Carne;€ 4,29;180.0 g;247 kcal;< 0,5 g;< 0,5 g;19 g;N/D;19 g
PolloCotolette di Pollo 0,400 Kg;Carne;€ 3,59;400.0 g;1180kJ/282kcal;26g;1,4g;16g;N/D;8,6g
SpiedìSpiedì gli Arrosticini di Black-Angus 0,120 Kg;Carne;€ 4,19;120.0 g;1071 kJ 258 kcal;<0,1g;<0,1g;19,9 g;N/D;19,7 g
AIAPetto di pollo 1000 g;Carne;€ 10,99;1.0 kg;N/D;N/D;N/D;N/D;N/D;N/D
CitterioCitterio Wuoi? 4 Würstel 100 g;Carne;€ 0,99;100.0 g;1146kJ - 277kcal;<0,5g;<0,5g;25g;N/D;13g
FileniFileni Buoni & Veloci Secondo Piatto Brasato di Tacchino con Patate 220 g;Carne;€ 3,69;220.0 g;172 kcal;8,2 g;0,5 g;9,2 g;N/D;14 g
AmadoriAmadori Buona Domenica Ricetta Classica 0,700 kg;Carne;€ 11,89;700.0 g;872 kJ/209 kcal;5.1 g;1.1 g;14 g;N/D;15 g
AiaAia Spinacine Grancroccanti Filetti di Pollo con Spinaci in Foglia 0,300 kg;Carne;€ 3,44;300.0 g;974kJ (233kcal);15g;0,6g;13g;N/D;14g
Carrefour SelectionCarrefour Selection Servelade Würstel di puro suino 2 x 100 g;Carne;€ 2,09;200.0 g;232 kcal;0,9g;<0,5 g;20 g;N/D;12 g
FileniFileni Buoni & Veloci Primo Piatto Paella con Carne di Pollo e Suino 220 g;Carne;€ 3,29;220.0 g;205 kcal;22 g;0,8 g;8,9 g;N/D;9,2 g
ClementeClemente Ulivo Secolare Olio Extravergine d'Oliva 0,75 l;condimenti e conserve;€ 9,19;N/D;824 kcal;0 g;0 g;92 g;N/D;0 g
ClementeClemente le Masserie del Parco Olio Extra Vergine di Oliva 100% Italiano 1 L;condimenti e conserve;€ 11,10;1000.0 ml;824 kcal;0 g;0 g;91,6 g;N/D;0 g
ClementeClemente enea Olio Extravergine di Oliva 1 L;condimenti e conserve;€ 8,65;1000.0 ml;824 kcal;0 g;0 g;91,6 g;N/D;0 g
;condimenti e conserve;N/D;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour BioCarrefour Bio Passata di pomodoro 700 g;condimenti e conserve;€ 0,99;700.0 g;28 kcal;4,2 g;3,9 g;0,5 g;1,3 g;1,7 g
CarrefourCarrefour Classic Olio di Semi di Girasole 1 L;condimenti e conserve;€ 2,29;1000.0 ml;828 kcal;0 g;0 g;92 g;N/D;0 g
CarrefourCarrefour Classic Tonno a Pinne Gialle all'Olio d'Oliva 3 x 80 g;condimenti e conserve;€ 3,29;N/D;197 kcal;N/D;N/D;12 g;N/D;22 g
BarillaBarilla Pesto Rosso Aceto Balsamico Modena Condimento e Sugo per Pasta 200 g;condimenti e conserve;€ 1,99;200.0 g;324 kcal;13,2 g;7,5 g;28 g;2,0 g;3,8 g
CarrefourCarrefour Classic Brodo Vegetale 1 L;condimenti e conserve;€ 1,49;1000.0 ml;1 kcal;0,5 g;0,5 g;0 g;N/D;0,5 g
Pierre Jacquin & FilsTronchetto di capra fresco avvolto con aglio ed erbe fini;condimenti e conserve;€ 2,89;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
Madama OlivaMadama Oliva Happy Hummus Hummus di Lupini 110 g;condimenti e conserve;€ 1,98;110.0 g;834 kJ/202 kcal;0,6 g;0 g;18 g;6,7 g;6,1 g
Madama OlivaMadama Oliva Happy Lupino Lupini Marinati con Aceto 80 g;condimenti e conserve;€ 1,98;80.0 g;348 kJ/ 84 kcal;0.2 g;0 g;3.0 g;7.9 g;10.0 g
Cesti NataliziCesto Pranzo delle Feste - 6 Prodotti;condimenti e conserve;€ 18,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
SoredaSoreda Boules Truffles Fromage de Chèvre aux Truffes 9 x 10 g;condimenti e conserve;€ 5,29;1.0 pz;1127 kJ / 272 kcal;3,5;1,2;22,5;N/D;13,8
Beppino OccelliBox Formaggio e Birra;condimenti e conserve;€ 19,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
L'Atelier d'HervéL'Atelier d'Hervé Mini-Brie Pesto Rosso 135 g;condimenti e conserve;€ 3,99;N/D;1379 kJ / 333 kcal;1,0 g;0,5 g;29 g;N/D;17 g
Cesti NataliziCestino dell'Amicizia - 6 Prodotti;condimenti e conserve;€ 19,99;N/D;N/D;N/D;N/D;N/D;N/D;N/D
Terre d'ItaliaTerre d'Italia Olive Taggiasche della Liguria in salamoia 300 g;condimenti e conserve;€ 3,88;N/D;961kJ (234kcal);0g;0g;24g;6,7g;1,6g
CarrefourCarrefour Gran Riso 2 x 350 g;condimenti e conserve;€ 3,69;420.0 g;40 kcal 168 kJ;4 g;N/D;2 g;N/D;1,5 g
Madama OlivaMadama Oliva Happy Oliva Olive Verdi Giganti denocciolate Gusto Pepe Rosa e Lime 80 g;condimenti e conserve;€ 1,98;80.0 g;617.8 kJ/150.0 kcal;2.2 g;0.0 g;14.6 g;2.9 g;1.0 g
CarrefourPrezzemolo 40 g;condimenti e conserve;€ 1,00;40.0 g;N/D;N/D;N/D;N/D;N/D;N/D
OrtoricciFinocchietto selvatico 30 g 1 €;condimenti e conserve;€ 1,00;30.0 g;N/D;N/D;N/D;N/D;N/D;N/D
OrtoricciMaggiorana 30 g 1 €;condimenti e conserve;€ 1,00;30.0 g;N/D;N/D;N/D;N/D;N/D;N/D
FerrariFerrari Grana Padano DOP Riserva Oltre 20 Mesi 600g con Mieli;condimenti e conserve;€ 21,50;1.0 pz;1370 kJ/322 kcal;80 g;80 g;0 g;N/D;0 g
FerrariFerrari Parmigiano Reggiano Prodotto di Montagna Oltre 40 Mesi 250g - Crema Fondentissima Lindt 200g;condimenti e conserve;€ 17,80;1.0 pz;2225 kJ / 536 kcal;37 g;32 g;37 g;N/D;8,7 g
Cesti NataliziCesto Re Tartufo - 6 Prodotti;condimenti e conserve;€ 34,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
MuttiMutti Passata di Pomodoro 800 g;condimenti e conserve;€ 1,09;800.0 g;149 kJ / 36 kcal;5,1 g;4,5 g;0,5 g;N/D;1,6 g
Madama OlivaMadama Oliva Happy Paté Paté di Olive 110 g;condimenti e conserve;€ 1,74;110.0 g;1032 kJ/251 kcal;1,3 g;0 g;26 g;2 g;1,9 g
Cesti NataliziCappelliera di Natale - 9 Prodotti;condimenti e conserve;€ 44,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
ClementeClemente Ulivo Secolare Olio Extravergine d'Oliva 0,75 l;condimenti e conserve;€ 9,19;N/D;824 kcal;0 g;0 g;92 g;N/D;0 g
ClementeClemente enea Olio Extravergine di Oliva 1 L;condimenti e conserve;€ 8,65;1000.0 ml;824 kcal;0 g;0 g;91,6 g;N/D;0 g
ClementeClemente le Masserie del Parco Olio Extra Vergine di Oliva 100% Italiano 1 L;condimenti e conserve;€ 11,10;1000.0 ml;824 kcal;0 g;0 g;91,6 g;N/D;0 g
MuttiMutti Sugo con Pomodoro Rossoro e con Basilico Genovese DOP 280 g;condimenti e conserve;€ 1,75;280.0 g;234 kJ / 56 kcal;5,3 g;4,5 g;2,8 g;N/D;1,6 g
SottiletteSottilette Classiche formaggio fuso a fette - 400g;condimenti e conserve;€ 3,59;400.0 g;224 kcal;4,5 g;4,5 g;14 g;3,0 g;17 g
Fattorie FiandinoCesto Il Burro 1889;condimenti e conserve;€ 6,90;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
Madama OlivaMadama Oliva Happy Paté Paté di Olive e Carciofi 110 g;condimenti e conserve;€ 1,74;110.0 g;709 kJ/172 kcal;3,4 g;0,5 g;16 g;3,6 g;1,8 g
Madama OlivaMadama Oliva Happy Paté Paté di Olive Piccante 110 g;condimenti e conserve;€ 1,74;110.0 g;540 kJ/131 kcal;1,0 g;0 g;13 g;2,5 g;1,3 g
Carrefour BioCarrefour Bio Ceci 400 g;condimenti e conserve;€ 0,89;240.0 g;123 kcal;15 g;0,5 g;2,6 g;5,8 g;6,6 g
CarrefourCarrefour Classic Aceto di Vino Bianco 1 L;condimenti e conserve;€ 0,85;1000.0 ml;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Succo di Limone 200 ml;condimenti e conserve;€ 1,29;200.0 ml;27 kcal;2,0 g;2,0 g;0,5 g;N/D;0,5 g
CarrefourCarrefour Aceto di mele 500 ml;condimenti e conserve;€ 1,19;500.0 ml;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Aceto di vino rosso 500 ml;condimenti e conserve;€ 1,19;500.0 ml;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Classic Aceto di Vino Rosso 1 L;condimenti e conserve;€ 0,85;1000.0 ml;N/D;N/D;N/D;N/D;N/D;N/D
LimmiLimmi Succo di Limoni di Sicilia 500 ml;condimenti e conserve;€ 2,59;500.0 ml;110 kJ / 26 kcal;2,3 g;1,3 g;0,0 g;0,0 g;0,0 g
ASCHERIRosmarino Vaso;condimenti e conserve;€ 2,00;1.0 pz;N/D;N/D;N/D;N/D;N/D;N/D
OrtoricciMenta 30 g 1 €;condimenti e conserve;€ 1,00;30.0 g;N/D;N/D;N/D;N/D;N/D;N/D
OrtoricciSalvia 30 g 1 €;condimenti e conserve;€ 1,00;30.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Ceci 400 g;condimenti e conserve;€ 0,65;240.0 g;116 kcal;15 g;0,6 g;1,9 g;5,9 g;7,0 g
CarrefourCarrefour Classic Lenticchie 400 g;condimenti e conserve;€ 0,69;240.0 g;88 kcal;13 g;N/D;N/D;3,8 g;6,6 g
Carrefour BioCarrefour Bio Lenticchie 400 g;condimenti e conserve;€ 0,89;240.0 g;92 kcal;13 g;0,5 g;0,5 g;4,6 g;7,2 g
CarrefourCarrefour Classic Sale Marino Grosso Iodato 1 Kg;condimenti e conserve;€ 0,49;1000.0 g;0 kcal;0 g;0 g;0 g;0 g;0 g
CarrefourCarrefour Ceci 330 g;condimenti e conserve;€ 0,85;215.0 g;548 kJ (130 kcal);18,9 g;1,3 g;1,8 g;5,3 g;6,9 g
SimplSimpl Sale Grosso 1 kg;condimenti e conserve;€ 0,29;1000.0 g;N/D;N/D;N/D;N/D;N/D;N/D
Carrefour BioCarrefour Bio Fagioli Cannellini 400 g;condimenti e conserve;€ 0,99;240.0 g;94 kcal;12 g;0,5 g;0,6 g;6,3 g;6,7 g
CarrefourCarrefour Classic Sale Marino Fino Iodato1 kg;condimenti e conserve;€ 0,49;1000.0 g;0 kcal;0 g;0 g;0 g;0 g;0 g
CarrefourCarrefour Classic Borlotti 400 g;condimenti e conserve;€ 0,75;240.0 g;416 kJ / 99 kcal;14 g;0,5 g;0,7 g;5,6 g;6,2 g
CarrefourCarrefour Fagioli Borlotti 3 x 400 g;condimenti e conserve;€ 1,99;720.0 g;106 kcal;15 g;0,6 g;0,8 g;5,8 g;6,8 g
CarrefourCarrefour Classic Zafferano 4 x 0,15;condimenti e conserve;€ 3,99;0.6 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Fagiolini Fini 400 g;condimenti e conserve;€ 1,09;220.0 g;26 kcal;3,0 g;0,8 g;N/D;2,8 g;1,6 g
CarrefourCarrefour Fagioli Rossi 400 g;condimenti e conserve;€ 0,79;255.0 g;104 kcal;12 g;1,2 g;0,7 g;7,9 g;8,4 g
CarrefourCarrefour Piselli Fini 3 x 200 g;condimenti e conserve;€ 2,39;420.0 g;88 kcal;12 g;1,7 g;0,8 g;5,7 g;5,4 g
SimplSimpl Sale Fino 1 kg;condimenti e conserve;€ 0,29;1000.0 g;0 kcal;0 g;0 g;0 g;N/D;0 g
CarrefourCarrefour Fagioli Cannellini 3 x 400 g;condimenti e conserve;€ 1,99;720.0 g;100 kcal;15 g;0,5 g;0,8 g;4,5 g;5,8 g
SimplSimpl Fagioli Cannellini 400 g;condimenti e conserve;€ 0,55;240.0 g;386kJ (92kcal);11g;0g;0,6g;7,8g;6,7g
CarrefourCarrefour Classic Sale Marino Grosso 1 kg;condimenti e conserve;€ 0,37;1000.0 g;0 kcal;0 g;0 g;0 g;0 g;0 g
CarrefourCarrefour Ceci cotti al Vapore 3 x 150 g;condimenti e conserve;€ 1,89;420.0 g;128 kcal;18 g;0,7 g;2,0 g;5,5 g;6,7 g
CarrefourCarrefour Piselli Medi 410 g;condimenti e conserve;€ 1,19;270.0 g;72 kcal;7,6 g;2,4 g;0,9 g;6,9 g;4,9 g
SimplSimpl Fagioli Borlotti 400 g;condimenti e conserve;€ 0,55;240.0 g;425kJ (101kcal);13g;0g;0,6g;8,1g;6,9g
Carrefour BioCarrefour Bio Fagioli Borlotti 400 g;condimenti e conserve;€ 0,99;240.0 g;85 kcal;12 g;0,7 g;0,5 g;6,0 g;5,7 g
SimplSimpl Mais Dolce 300 g;condimenti e conserve;€ 0,79;285.0 g;107 kcal;19 g;3,4 g;1,5 g;3,3 g;2,8 g
CarrefourCarrefour Mais Dolce 3 x 150 g;condimenti e conserve;€ 2,55;420.0 g;116 kcal;23 g;5,8 g;1,2 g;2,4 g;2,6 g
CarrefourCarrefour Classic Cannellini 400 g;condimenti e conserve;€ 0,75;240.0 g;380 kJ / 90 kcal;13 g;0,6 g;0,6 g;5,6 g;5,7 g
CarrefourCarrefour Classic Sale Marino Fino 1 kg;condimenti e conserve;€ 0,37;1000.0 g;0 kcal;0 g;0 g;0 g;0 g;0 g
SimplSimpl Fagioli Bianchi di Spagna 400 g;condimenti e conserve;€ 0,55;240.0 g;422kJ (101kcal);13g;0g;0,7g;8,1g;6,5g
CarrefourCarrefour Classic Funghi Prataioli al Naturale 400 g;condimenti e conserve;€ 1,39;180.0 g;78KJ (19kcal);0,7g;0g;0,5g;2,9g;2,3g
Carrefour BioCarrefour Bio Mais dolce 2 x 160 g;condimenti e conserve;€ 2,19;280.0 g;335kJ (80kcal);11,7g;6,9g;2,0g;2,9g;2,3g
CarrefourCarrefour Fagioli Cannellini cotti al Vapore 3 x 150 g;condimenti e conserve;€ 1,89;420.0 g;110 kcal;15 g;0,9 g;0,5 g;6,9 g;7,9 g
Terre d'ItaliaTerre d'Italia Olive verdi intere in salamoia Nocellara del Belice DOP 300 g;condimenti e conserve;€ 2,78;N/D;778kJ (189kcal);1,0g;0g;20g;3,0g;0,7g
CarrefourCarrefour Piselli Medi 3 x 410 g;condimenti e conserve;€ 3,19;810.0 g;72 kcal;7,6 g;2,4 g;0,9 g;6,9 g;4,9 g
SimplSimpl Piselli Molto fini 800 g;condimenti e conserve;€ 1,55;560.0 g;76 kcal;7,4 g;1,4 g;1,0 g;6,9 g;6,0 g
Carrefour BioCarrefour Bio Piselli 2 x 160 g;condimenti e conserve;€ 2,19;280.0 g;252kJ (60kcal);8,5g;2,5g;0,5g;2,7g;4,2g
CarrefourCarrefour Classic Mais Senza Zuccheri Aggiunti* 300 g;condimenti e conserve;€ 1,19;285.0 g;77 kcal;12 g;5,5 g;1,7 g;2,8 g;2,6 g
Carrefour BioCarrefour Bio Fagioli di soia Edamame 200 g;condimenti e conserve;€ 1,89;130.0 g;100 kcal;2,9 g;2,1 g;5,1 g;5,2 g;8,0 g
CarrefourCarrefour Asparagi verdi 330 g;condimenti e conserve;€ 2,99;185.0 g;26 kcal;3 g;N/D;N/D;3 g;2 g
CarrefourCarrefour Fagioli Borlotti 3 x 200 g;condimenti e conserve;€ 1,99;375.0 g;97 kcal;13 g;0,6 g;0,5 g;5,8 g;7 g
CarrefourCarrefour Fagioli Cannellini 3 x 125 g;condimenti e conserve;€ 1,99;375.0 g;87 kcal;12 g;N/D;0,5 g;6,6 g;5,5 g
SimplSimpl Fagiolini Finissimi 800 g;condimenti e conserve;€ 1,99;440.0 g;24 kcal;2,4 g;0,6 g;0,5 g;2,7 g;1,6 g
CarrefourCarrefour il Mercato Olive verdi dolci 500 g;condimenti e conserve;€ 4,98;500.0 g;N/D;N/D;N/D;N/D;N/D;N/D
CarrefourCarrefour Cuori di Palma Teneri 410 g;condimenti e conserve;€ 4,79;250.0 g;40 kcal;5 g;N/D;N/D;4 g;3 g
CarrefourCarrefour Piselli stufati extra fini 330 g;condimenti e conserve;€ 1,49;230.0 g;88 kcal;11 g;3,7 g;0,9 g;6,1 g;5,8 g
